,INVENTARISASI ASET SUNGAI ( Towari - Lasusua ) DI SULAWESI TENGGARA,,,,,,,,,,,,,,,,,,,,,,,
,TAHUN DATA :  2017,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NO,Nama Sungai,I. INFORMASI WILAYAH SUNGAI,,,II. KODIFIKASI,,,Kondisi,III. LOKASI,III. LOKASI,,IV. MANFAAT,,,,V. DATA TEKNIS,,,V. DATA TEKNIS,,,,VI. KOORDINAT,
,,WS,DAS,Status,Kode bidang PU,Kode Dasar Jenis Infrastruktur,Kode Infrastruktur,,Kabupaten,Kecamatan,Kelurahan,Irigasi (Ha),DMI (m3/dtk),PLTA,Ternak (ekor),Orde,Luas Das (Km2),Panjang Sungai (Km),Lebar Max (m),"Kelerengan rata""",Q max (m3 / detik),Keterangan,E,S
,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
21,Langgikima,Lasolo - Konaweha,Lasolo,Non Lintas,1,3,741000021,Baik,Konawe Utara,Langgikima,Sari Mukti,,80.19,,,2,5960.7597,26.65,,,,,,
22,Mondiodo,Lasolo - Konaweha,Mondiodo,Non Lintas,1,3,741000022,Baik,Konawe Utara,Molawe,Mondiodi,,0.23,,,1,7.3151,x,,,,,,
23,Ranondudu,Lasolo - Konaweha,Ranondudu,Non Lintas,1,3,741000023,Baik,Konawe Utara,,,,0.31,,,1,9.5664,6.25,,,,,,
24,Molawe,Lasolo - Konaweha,Mowale,Non Lintas,1,3,741000024,Baik,Konawe Utara,Molawe,Molawe,,1.65,,,1,49.9621,12.5,,,,,,
25,Larodange,Lasolo - Konaweha,Larodange,Non Lintas,1,3,741000025,Baik,Konawe Utara,Lasolo,Larodangge,,0.31,,,1,9.5489,5.2,,,,,,
26,Mataiwoi,Lasolo - Konaweha,Mataiwoi,Non Lintas,1,3,741000026,Baik,Konawe Utara,Molawe,Mataiwoi,,0.3,,,1,9.1047,4.56,,,,,,
27,Tinobu,Lasolo - Konaweha,Tinobu,Non Lintas,1,3,741000027,Baik,Konawe Utara,Lasolo,Watukila,,6.07,,,1,182.9666,x,,,,,,
28,Belalo,Lasolo - Konaweha,Belalo,Non Lintas,1,3,741000028,Baik,Konawe Utara,Lasolo,Lemobajo,,0.46,,,1,14.1123,6.5,,,,,,
29,Otipulu,Lasolo - Konaweha,Otipulu,Non Lintas,1,3,741000029,Baik,Konawe Utara,,,,0.2,,,1,6.2123,x,,,,,,
30,Andoreo,Lasolo - Konaweha,Andoreo,Non Lintas,1,3,741000030,Baik,Konawe Utara,,,,1.04,,,1,31.4972,7.5,,,,,,
31,Lemo,Lasolo - Konaweha,Lemo,Non Lintas,1,3,741000031,Baik,Konawe Utara,,,,0.21,,,1,6.3083,x,,,,,,
32,Lamenggara,Lasolo - Konaweha,Lamenggara,Non Lintas,1,3,741000032,Baik,Konawe Utara,,,,0.13,,,1,3.87,x,,,,,,
