1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
70,P. 03KDI,Poleang - Roraya,DAS Kambu,1,9,740500020,Konawe Selatan,Ranomeeto,Sindang Kasih,21,21,D.I. Sindang Kasih,,12,,,,,,,,,,,,,-,,1993/1994,,,,,,,,,,,,,,,,,"4°5'14.47""","122°22'30.67"""
71,P. 41KDI,Poleang - Roraya,DAS Kambu,1,9,740500011,Konawe Selatan,Ranomeeto,Ranomeeto,13,13,D.I. Ranomeeto,,15.1,,,,,,,,,,,,,-,,1997/1998,,,,,,,,,,,,,,,,,4°2'47.30,"122°27'48.70"""
72,P. 03MNA,Muna,DAS Katangana,1,9,740500006,Muna Barat,Maginti,Abadi Jaya,19,19,D.I. Maginti,,20,,,,,,,,,,,,,-,,2008,,,,,,,,,,,,,,,,,"04o  51’ 08,2” ","122o  23’  06,3” "
73,P. 39BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600022,Bombana,Rumbia,Aneka Marga,8,8,D.I. Aneka Marga,,14.23,,,,,,,,,,,,,-,,1998/1999,,,,,,,,,,,,,,,,,"4°37'47.44""","122°0'7.88"""
74,P. 17BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600023,Bombana,Rumbia,Lomba Kasih,13,13,D.I. Lombakasih,,12.6,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,,
75,P. 42KDI,Poleang - Roraya,DAS Kambu,1,9,740500012,Konawe Selatan,Ranomeeto,Ranomeeto,11,11,D.I. Ranomeeto,,12.5,,,,,,,,,,,,,-,,1997/1998,,,,,,,,,,,,,,,,,"4°2'31.15""","122°27'49.67"""
76,P. 04JICA,Poleang - Roraya,DAS Roraya,1,9,740500065,Konawe Selatan,Tinanggea,Moolo Indah,19,19,D.I. Molo Indah,,20.5,,,,,,,,,,,,,-,,2000,,,,,,,,,,,,,,,,,"4°27'52.19""","122°18'37.59"""
77,P. 18BTN,Poleang - Roraya,DAS Lantawanua,1,9,740600024,Bombana,Rumbia,Lomba Kasih,13,13,D.I. Lombakasih,,14.8,,,,,,,,,,,,,-,,1995/1996,,,,,,,,,,,,,,,,,"4°37'7.00""","121°59'45.48"""
78,P. 04KDI,Poleang - Roraya,DAS Kambu,1,9,740500021,Konawe Selatan,Ranomeeto,Sindang Kasih,25,25,D.I. Sindang Kasih,,10,,,,,,,,,,,,,-,,1993/1994,,,,,,,,,,,,,,,,,"4°5'11.43""","122°22'10.43"""
79,P. 43KDI,Poleang - Roraya,DAS Kambu,1,9,740500019,Konawe Selatan,Ranomeeto,Sindang Kasih,15,15,D.I. Sindang Kasih,,2.5,,,,,,,,,,,,,200,,1997/1998,,,,,,,,,,,,,,,,,"4°2'24.17""","122°27'26.69"""
